Step 0, Potential Energy: 15998.0807, Kinetic Energy: 27110.1135, Total Energy: 43108.1942
Step 1, Potential Energy: 6532.4216, Kinetic Energy: 38568.2584, Total Energy: 45100.6800
Step 2, Potential Energy: 5031.8659, Kinetic Energy: 40461.2570, Total Energy: 45493.1230
Step 3, Potential Energy: 5000.1884, Kinetic Energy: 40556.4914, Total Energy: 45556.6797
Step 4, Potential Energy: 5354.4280, Kinetic Energy: 40225.9676, Total Energy: 45580.3956
Step 5, Potential Energy: 5744.5458, Kinetic Energy: 39859.0029, Total Energy: 45603.5487
Step 6, Potential Energy: 5878.0858, Kinetic Energy: 39732.3500, Total Energy: 45610.4358
Step 7, Potential Energy: 5663.5757, Kinetic Energy: 39933.4130, Total Energy: 45596.9886
Step 8, Potential Energy: 5256.1529, Kinetic Energy: 40325.7715, Total Energy: 45581.9245
Step 9, Potential Energy: 4848.6061, Kinetic Energy: 40726.5567, Total Energy: 45575.1628
Step 10, Potential Energy: 4534.8718, Kinetic Energy: 41041.8312, Total Energy: 45576.7030
Step 11, Potential Energy: 4301.1867, Kinetic Energy: 41281.0579, Total Energy: 45582.2446
Step 12, Potential Energy: 4080.7456, Kinetic Energy: 41504.9667, Total Energy: 45585.7123
Step 13, Potential Energy: 3830.3223, Kinetic Energy: 41754.0999, Total Energy: 45584.4223
Step 14, Potential Energy: 3565.2373, Kinetic Energy: 42015.2554, Total Energy: 45580.4927
Step 15, Potential Energy: 3336.0367, Kinetic Energy: 42239.7696, Total Energy: 45575.8063
Step 16, Potential Energy: 3206.1800, Kinetic Energy: 42361.4159, Total Energy: 45567.5959
Step 17, Potential Energy: 3287.5524, Kinetic Energy: 42258.5976, Total Energy: 45546.1500
Step 18, Potential Energy: 3859.1233, Kinetic Energy: 41637.1378, Total Energy: 45496.2612
Step 19, Potential Energy: 5462.5267, Kinetic Energy: 40000.7172, Total Energy: 45463.2439
Step 20, Potential Energy: 7860.5244, Kinetic Energy: 37841.5706, Total Energy: 45702.0950
Step 21, Potential Energy: 7706.3916, Kinetic Energy: 37988.0208, Total Energy: 45694.4124
Step 22, Potential Energy: 5081.4640, Kinetic Energy: 40378.5064, Total Energy: 45459.9704
Step 23, Potential Energy: 3312.9752, Kinetic Energy: 42180.6166, Total Energy: 45493.5917
Step 24, Potential Energy: 2611.1957, Kinetic Energy: 42929.8423, Total Energy: 45541.0380
Step 25, Potential Energy: 2454.6142, Kinetic Energy: 43105.7133, Total Energy: 45560.3275
Step 26, Potential Energy: 2583.4241, Kinetic Energy: 42984.6697, Total Energy: 45568.0938
Step 27, Potential Energy: 2878.4677, Kinetic Energy: 42698.4707, Total Energy: 45576.9384
Step 28, Potential Energy: 3205.1608, Kinetic Energy: 42385.5565, Total Energy: 45590.7172
Step 29, Potential Energy: 3374.5768, Kinetic Energy: 42225.0510, Total Energy: 45599.6279
Step 30, Potential Energy: 3272.1357, Kinetic Energy: 42320.9347, Total Energy: 45593.0704
Step 31, Potential Energy: 2982.4833, Kinetic Energy: 42597.1364, Total Energy: 45579.6197
Step 32, Potential Energy: 2688.0239, Kinetic Energy: 42883.5401, Total Energy: 45571.5640
Step 33, Potential Energy: 2510.5260, Kinetic Energy: 43059.0602, Total Energy: 45569.5862
Step 34, Potential Energy: 2489.1171, Kinetic Energy: 43080.4245, Total Energy: 45569.5416
Step 35, Potential Energy: 2630.5413, Kinetic Energy: 42938.0821, Total Energy: 45568.6234
Step 36, Potential Energy: 2948.1698, Kinetic Energy: 42617.5441, Total Energy: 45565.7139
Step 37, Potential Energy: 3476.5879, Kinetic Energy: 42084.7743, Total Energy: 45561.3622
Step 38, Potential Energy: 4257.0051, Kinetic Energy: 41303.8187, Total Energy: 45560.8238
Step 39, Potential Energy: 5252.7347, Kinetic Energy: 40324.4326, Total Energy: 45577.1673
Step 40, Potential Energy: 6185.7996, Kinetic Energy: 39424.1615, Total Energy: 45609.9611
Step 41, Potential Energy: 6606.2761, Kinetic Energy: 39008.9413, Total Energy: 45615.2174
Step 42, Potential Energy: 6438.3042, Kinetic Energy: 39149.1644, Total Energy: 45587.4686
Step 43, Potential Energy: 6038.6156, Kinetic Energy: 39535.3167, Total Energy: 45573.9323
Step 44, Potential Energy: 5633.4872, Kinetic Energy: 39942.7311, Total Energy: 45576.2183
Step 45, Potential Energy: 5235.2995, Kinetic Energy: 40341.4525, Total Energy: 45576.7520
Step 46, Potential Energy: 4850.1028, Kinetic Energy: 40725.1929, Total Energy: 45575.2957
Step 47, Potential Energy: 4499.8889, Kinetic Energy: 41077.8682, Total Energy: 45577.7572
Step 48, Potential Energy: 4156.8127, Kinetic Energy: 41425.2170, Total Energy: 45582.0297
Step 49, Potential Energy: 3770.4194, Kinetic Energy: 41811.6867, Total Energy: 45582.1061
Step 50, Potential Energy: 3344.2942, Kinetic Energy: 42233.5467, Total Energy: 45577.8409
Step 51, Potential Energy: 2940.7091, Kinetic Energy: 42633.1973, Total Energy: 45573.9064
Step 52, Potential Energy: 2621.2043, Kinetic Energy: 42951.6435, Total Energy: 45572.8478
Step 53, Potential Energy: 2409.3546, Kinetic Energy: 43164.6493, Total Energy: 45574.0038
Step 54, Potential Energy: 2296.4455, Kinetic Energy: 43279.4728, Total Energy: 45575.9183
Step 55, Potential Energy: 2260.8461, Kinetic Energy: 43316.7843, Total Energy: 45577.6304
Step 56, Potential Energy: 2282.0596, Kinetic Energy: 43296.6085, Total Energy: 45578.6682
Step 57, Potential Energy: 2347.9005, Kinetic Energy: 43230.7951, Total Energy: 45578.6956
Step 58, Potential Energy: 2459.5713, Kinetic Energy: 43117.2918, Total Energy: 45576.8631
Step 59, Potential Energy: 2643.5060, Kinetic Energy: 42926.9461, Total Energy: 45570.4521
Step 60, Potential Energy: 2988.2462, Kinetic Energy: 42563.4716, Total Energy: 45551.7178
Step 61, Potential Energy: 3740.9937, Kinetic Energy: 41764.7797, Total Energy: 45505.7735
Step 62, Potential Energy: 5425.7943, Kinetic Energy: 40029.2044, Total Energy: 45454.9987
Step 63, Potential Energy: 8122.4748, Kinetic Energy: 37515.0631, Total Energy: 45637.5379
Step 64, Potential Energy: 8796.8275, Kinetic Energy: 36945.5740, Total Energy: 45742.4015
Step 65, Potential Energy: 6346.2119, Kinetic Energy: 39120.7237, Total Energy: 45466.9356
Step 66, Potential Energy: 4444.8703, Kinetic Energy: 41032.6597, Total Energy: 45477.5300
Step 67, Potential Energy: 3784.5349, Kinetic Energy: 41737.9296, Total Energy: 45522.4645
Step 68, Potential Energy: 3936.0707, Kinetic Energy: 41595.3734, Total Energy: 45531.4441
Step 69, Potential Energy: 4742.0121, Kinetic Energy: 40800.3766, Total Energy: 45542.3887
Step 70, Potential Energy: 5921.6248, Kinetic Energy: 39699.4353, Total Energy: 45621.0601
Step 71, Potential Energy: 6451.4084, Kinetic Energy: 39214.0946, Total Energy: 45665.5030
Step 72, Potential Energy: 5862.5686, Kinetic Energy: 39704.9739, Total Energy: 45567.5425
Step 73, Potential Energy: 5276.1625, Kinetic Energy: 40226.3259, Total Energy: 45502.4884
Step 74, Potential Energy: 5657.5333, Kinetic Energy: 39791.4836, Total Energy: 45449.0170
Step 75, Potential Energy: 7684.8904, Kinetic Energy: 37720.0141, Total Energy: 45404.9045
Step 76, Potential Energy: 11038.2324, Kinetic Energy: 34690.3678, Total Energy: 45728.6002
Step 77, Potential Energy: 11280.8745, Kinetic Energy: 34361.5580, Total Energy: 45642.4325
Step 78, Potential Energy: 9228.1734, Kinetic Energy: 36172.5350, Total Energy: 45400.7085
Step 79, Potential Energy: 8638.3714, Kinetic Energy: 36862.4235, Total Energy: 45500.7949
Step 80, Potential Energy: 8850.5117, Kinetic Energy: 36745.1325, Total Energy: 45595.6442
Step 81, Potential Energy: 8658.3173, Kinetic Energy: 36954.8795, Total Energy: 45613.1969
Step 82, Potential Energy: 7833.7039, Kinetic Energy: 37734.9690, Total Energy: 45568.6729
Step 83, Potential Energy: 6981.3710, Kinetic Energy: 38559.3114, Total Energy: 45540.6824
Step 84, Potential Energy: 6562.4655, Kinetic Energy: 38982.8293, Total Energy: 45545.2949
Step 85, Potential Energy: 6580.1268, Kinetic Energy: 38983.3416, Total Energy: 45563.4684
Step 86, Potential Energy: 6806.3821, Kinetic Energy: 38774.9132, Total Energy: 45581.2953
Step 87, Potential Energy: 7001.7002, Kinetic Energy: 38586.5361, Total Energy: 45588.2363
Step 88, Potential Energy: 7067.7507, Kinetic Energy: 38516.5311, Total Energy: 45584.2817
Step 89, Potential Energy: 7053.9521, Kinetic Energy: 38523.8251, Total Energy: 45577.7773
Step 90, Potential Energy: 7051.5610, Kinetic Energy: 38521.1624, Total Energy: 45572.7234
Step 91, Potential Energy: 7126.8594, Kinetic Energy: 38445.2037, Total Energy: 45572.0631
Step 92, Potential Energy: 7268.8410, Kinetic Energy: 38314.8580, Total Energy: 45583.6990
Step 93, Potential Energy: 7298.6973, Kinetic Energy: 38305.6274, Total Energy: 45604.3247
Step 94, Potential Energy: 6948.3159, Kinetic Energy: 38655.8917, Total Energy: 45604.2077
Step 95, Potential Energy: 6222.2854, Kinetic Energy: 39355.8538, Total Energy: 45578.1393
Step 96, Potential Energy: 5456.1536, Kinetic Energy: 40100.7951, Total Energy: 45556.9487
Step 97, Potential Energy: 4947.4598, Kinetic Energy: 40604.4520, Total Energy: 45551.9118
Step 98, Potential Energy: 4771.5054, Kinetic Energy: 40789.0570, Total Energy: 45560.5624
Step 99, Potential Energy: 4792.4865, Kinetic Energy: 40788.0629, Total Energy: 45580.5494
